,attraction_name,date,forecast
298,[Far Far Away] Happily Ever After,10/26/2024,16.51510307
299,[Far Far Away] Happily Ever After,10/27/2024,10.5080857
300,[Far Far Away] Happily Ever After,10/28/2024,13.77860019
301,[Far Far Away] Happily Ever After,10/29/2024,11.8021643
302,[Far Far Away] Happily Ever After,10/30/2024,11.70043559
303,[Far Far Away] Happily Ever After,10/31/2024,10.09618076
304,[Far Far Away] Happily Ever After,11/1/2024,12.70607194
305,[Far Far Away] Happily Ever After,11/2/2024,15.90828775
306,[Far Far Away] Happily Ever After,11/3/2024,10.11420816
307,[Far Far Away] Happily Ever After,11/4/2024,13.25843321
